"","season","team","coach","offense","defense","playoff_success","playoff_percentile"
"101",2020,"DAL","Mike McCarthy","Kellen Moore","Mike Nolan",1,0
"102",2021,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",2,0.575757575757576
"103",2022,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",3,0.794117647058823
"104",2023,"DAL","Mike McCarthy","Brian Schottenheimer","Dan Quinn",2,0.617647058823529
"105",2024,"DAL","Mike McCarthy","Brian Schottenheimer","Mike Zimmer",1,0
"106",2025,"DAL","Brian Schottenheimer","Klayton Adams","Matt Eberflus",1,0
"107",2015,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",6,1
"108",2016,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",1,0
"109",2017,"DEN","Vance Joseph","Mike McCoy, Bill Musgrave","Joe Woods",1,0
"110",2018,"DEN","Vance Joseph","Bill Musgrave","Joe Woods",1,0
"111",2019,"DEN","Vic Fangio","Rich Scangarello","Ed Donatell",1,0
"112",2020,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",1,0
"113",2021,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",1,0
"114",2022,"DEN","Jerry Rosburg","Justin Outten","Ejiro Evero",1,0
"115",2022,"DEN","Nathaniel Hackett","Justin Outten","Ejiro Evero",1,0
"116",2023,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",1,0
"117",2024,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",2,0.617647058823529
"118",2025,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",4,0.909090909090909
"119",2015,"DET","Jim Caldwell","Jim Bob Cooter, Joe Lombardi","Teryl Austin",1,0
"120",2016,"DET","Jim Caldwell","Jim Bob Cooter","Teryl Austin",2,0.676470588235294
"121",2017,"DET","Jim Caldwell","Jim Bob Cooter","Teryl Austin",1,0
"122",2018,"DET","Matt Patricia","Jim Bob Cooter","Paul Pasqualoni",1,0
"123",2019,"DET","Matt Patricia","Darrell Bevell","Paul Pasqualoni",1,0
"124",2020,"DET","Darrell Bevell","","Cory Undlin",1,0
"125",2020,"DET","Matt Patricia","Darrell Bevell","Cory Undlin",1,0
"126",2021,"DET","Dan Campbell","Anthony Lynn","Aaron Glenn",1,0
"127",2022,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",1,0
"128",2023,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",4,0.911764705882353
"129",2024,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",3,0.794117647058823
"130",2025,"DET","Dan Campbell","John Morton","Kelvin Sheppard",1,0
"131",2015,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",3,0.794117647058823
"132",2016,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",4,0.911764705882353
"133",2017,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",1,0
"134",2018,"GB","Joe Philbin","","Mike Pettine",1,0
"135",2018,"GB","Mike McCarthy","Joe Philbin","Mike Pettine",1,0
"136",2019,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",4,0.909090909090909
"137",2020,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",4,0.911764705882353
"138",2021,"GB","Matt LaFleur","Nathaniel Hackett","Joe Barry",3,0.787878787878788
"139",2022,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",1,0
"140",2023,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",3,0.794117647058823
"141",2024,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",2,0.617647058823529
"142",2025,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",2,0.606060606060606
"143",2015,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",2,0.676470588235294
"144",2016,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",3,0.794117647058823
"145",2017,"HOU","Bill O'Brien","","Mike Vrabel",1,0
"146",2018,"HOU","Bill O'Brien","","Romeo Crennel",2,0.666666666666667
"147",2019,"HOU","Bill O'Brien","Tim Kelly","Romeo Crennel",3,0.787878787878788
"148",2020,"HOU","Romeo Crennel","Tim Kelly","Anthony Weaver",1,0
"149",2020,"HOU","Bill O'Brien","Tim Kelly","Anthony Weaver",1,0
"150",2021,"HOU","David Culley","Tim Kelly","Lovie Smith",1,0
"151",2022,"HOU","Lovie Smith","Pep Hamilton","",1,0
"152",2023,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",3,0.794117647058823
"153",2024,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",3,0.794117647058823
"154",2025,"HOU","DeMeco Ryans","Nick Caley","Matt Burke",3,0.787878787878788
"155",2015,"IND","Chuck Pagano","Rob Chudzinski, Pep Hamilton","Greg Manusky",1,0
"156",2016,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",1,0
"157",2017,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",1,0
"158",2018,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",3,0.787878787878788
"159",2019,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",1,0
"160",2020,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",2,0.617647058823529
"161",2021,"IND","Frank Reich","Marcus Brady","Matt Eberflus",1,0
"162",2022,"IND","Jeff Saturday","Marcus Brady","Gus Bradley",1,0
"163",2022,"IND","Frank Reich","Marcus Brady","Gus Bradley",1,0
"164",2023,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",1,0
"165",2024,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",1,0
"166",2025,"IND","Shane Steichen","Jim Bob Cooter","Lou Anarumo",1,0
"167",2015,"JAX","Gus Bradley","Greg Olson","Bob Babich",1,0
"168",2016,"JAX","Doug Marrone","Nathaniel Hackett, Greg Olson","Todd Wash",1,0
"169",2016,"JAX","Gus Bradley","Nathaniel Hackett, Greg Olson","Todd Wash",1,0
"170",2017,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",4,0.90625
"171",2018,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",1,0
"172",2019,"JAX","Doug Marrone","John DeFilippo","Todd Wash",1,0
"173",2020,"JAX","Doug Marrone","Jay Gruden","Todd Wash",1,0
"174",2021,"JAX","Darrell Bevell","","Joe Cullen",1,0
"175",2021,"JAX","Urban Meyer","Darrell Bevell","Joe Cullen",1,0
"176",2022,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",3,0.794117647058823
"177",2023,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",1,0
"178",2024,"JAX","Doug Pederson","Press Taylor","Ryan Nielsen",1,0
"179",2025,"JAX","Liam Coen","Grant Udinski","Anthony Campanile",2,0.606060606060606
"180",2015,"KC","Andy Reid","Doug Pederson","Bob Sutton",3,0.794117647058823
"181",2016,"KC","Andy Reid","Brad Childress","Bob Sutton",3,0.794117647058823
"182",2017,"KC","Andy Reid","Matt Nagy","Bob Sutton",2,0.65625
"183",2018,"KC","Andy Reid","Eric Bieniemy","Bob Sutton",4,0.909090909090909
"184",2019,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",6,1
"185",2020,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",5,0.970588235294118
"186",2021,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",4,0.909090909090909
"187",2022,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",6,1
"188",2023,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",6,1
"189",2024,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",5,0.970588235294118
"190",2025,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",1,0
"191",2015,"LAC","Mike McCoy","Frank Reich","John Pagano",1,0
"192",2016,"LAC","Mike McCoy","Ken Whisenhunt","John Pagano",1,0
"193",2017,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",1,0
"194",2018,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",3,0.787878787878788
"195",2019,"LAC","Anthony Lynn","Shane Steichen, Ken Whisenhunt","Gus Bradley",1,0
"196",2020,"LAC","Anthony Lynn","Shane Steichen","Gus Bradley",1,0
"197",2021,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",1,0
"198",2022,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",2,0.617647058823529
"199",2023,"LAC","Giff Smith","Kellen Moore","Derrick Ansley",1,0
"200",2023,"LAC","Brandon Staley","Kellen Moore","Derrick Ansley",1,0
"201",2024,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",2,0.617647058823529
"202",2025,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",2,0.606060606060606
"203",2015,"LAR","Jeff Fisher","Rob Boras, Frank Cignetti","Gregg Williams",1,0
"204",2016,"LAR","John Fassel","Rob Boras","Gregg Williams",1,0
"205",2016,"LAR","Jeff Fisher","Rob Boras","Gregg Williams",1,0
"206",2017,"LAR","Sean McVay","Matt LaFleur","Wade Phillips",2,0.65625
"207",2018,"LAR","Sean McVay","","Wade Phillips",5,0.96969696969697
"208",2019,"LAR","Sean McVay","","Wade Phillips",1,0
"209",2020,"LAR","Sean McVay","Kevin O'Connell","Brandon Staley",3,0.794117647058823
"210",2021,"LAR","Sean McVay","Kevin O'Connell","Raheem Morris",6,1
"211",2022,"LAR","Sean McVay","Liam Coen","Raheem Morris",1,0
"212",2023,"LAR","Sean McVay","Mike LaFleur","Raheem Morris",2,0.617647058823529
"213",2024,"LAR","Sean McVay","Mike LaFleur","Chris Shula",3,0.794117647058823
"214",2025,"LAR","Sean McVay","Mike LaFleur","Chris Shula",4,0.909090909090909
"215",2015,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",1,0
"216",2016,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",2,0.676470588235294
"217",2017,"LV","Jack Del Rio","Todd Downing","Ken Norton, John Pagano",1,0
"218",2018,"LV","Jon Gruden","Greg Olson","Paul Guenther",1,0
"219",2019,"LV","Jon Gruden","Greg Olson","Paul Guenther",1,0
"220",2020,"LV","Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli",1,0
"221",2021,"LV","Rich Bisaccia","Greg Olson","Gus Bradley",2,0.575757575757576
"222",2021,"LV","Jon Gruden","Greg Olson","Gus Bradley",2,0.575757575757576
"223",2022,"LV","Josh McDaniels","Mick Lombardi","Patrick Graham",1,0
"224",2023,"LV","Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham",1,0
"225",2023,"LV","Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham",1,0
"226",2024,"LV","Antonio Pierce","Luke Getsy, Scott Turner","Patrick Graham",1,0
"227",2025,"LV","Pete Carroll","Chip Kelly, Greg Olson","Patrick Graham",1,0
"228",2015,"MIA","Dan Campbell","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",1,0
"229",2015,"MIA","Joe Philbin","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",1,0
"230",2016,"MIA","Adam Gase","Clyde Christensen","Vance Joseph",2,0.676470588235294
"231",2017,"MIA","Adam Gase","Clyde Christensen","Matt Burke",1,0
"232",2018,"MIA","Adam Gase","Dowell Loggains","Matt Burke",1,0
"233",2019,"MIA","Brian Flores","Chad O'Shea","Patrick Graham",1,0
"234",2020,"MIA","Brian Flores","Chan Gailey","Josh Boyer",1,0
"235",2021,"MIA","Brian Flores","George Godsey, Eric Studesville","Josh Boyer",1,0
"236",2022,"MIA","Mike McDaniel","Frank Smith","Josh Boyer",2,0.617647058823529
"237",2023,"MIA","Mike McDaniel","Frank Smith","Vic Fangio",2,0.617647058823529
"238",2024,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",1,0
"239",2025,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",1,0
"240",2015,"MIN","Mike Zimmer","Norv Turner","George Edwards",2,0.676470588235294
"241",2016,"MIN","Mike Zimmer","Pat Shurmur, Norv Turner","George Edwards",1,0
"242",2017,"MIN","Mike Zimmer","Pat Shurmur","George Edwards",4,0.90625
"243",2018,"MIN","Mike Zimmer","John DeFilippo","George Edwards",1,0
"244",2019,"MIN","Mike Zimmer","Kevin Stefanski","George Edwards",3,0.787878787878788
"245",2020,"MIN","Mike Zimmer","Gary Kubiak","Andre Patterson, Adam Zimmer",1,0
"246",2021,"MIN","Mike Zimmer","Klint Kubiak","Andre Patterson, Adam Zimmer",1,0
"247",2022,"MIN","Kevin O'Connell","Wes Phillips","Ed Donatell",2,0.617647058823529
"248",2023,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",1,0
"249",2024,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",2,0.617647058823529
"250",2025,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",1,0
"251",2015,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",4,0.911764705882353
"252",2016,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",6,1
"253",2017,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",5,0.96875
"254",2018,"NE","Bill Belichick","Josh McDaniels","",6,1
"255",2019,"NE","Bill Belichick","Josh McDaniels","",2,0.666666666666667
"256",2020,"NE","Bill Belichick","Josh McDaniels","",1,0
"257",2021,"NE","Bill Belichick","Josh McDaniels","",2,0.575757575757576
"258",2022,"NE","Bill Belichick","","",1,0
"259",2023,"NE","Bill Belichick","Bill O'Brien","",1,0
"260",2024,"NE","Jerod Mayo","Alex Van Pelt","DeMarcus Covington",1,0
"261",2025,"NE","Mike Vrabel","Josh McDaniels","Terrell Williams",5,0.96969696969697
"262",2015,"NO","Sean Payton","Pete Carmichael","Dennis Allen, Rob Ryan",1,0
"263",2016,"NO","Sean Payton","Pete Carmichael","Dennis Allen",1,0
"264",2017,"NO","Sean Payton","Pete Carmichael","Dennis Allen",3,0.78125
"265",2018,"NO","Sean Payton","Pete Carmichael","Dennis Allen",4,0.909090909090909
"266",2019,"NO","Sean Payton","Pete Carmichael","Dennis Allen",2,0.666666666666667
"267",2020,"NO","Sean Payton","Pete Carmichael","Dennis Allen",3,0.794117647058823
"268",2021,"NO","Sean Payton","Pete Carmichael","Dennis Allen",1,0
"269",2022,"NO","Dennis Allen","Pete Carmichael","Ryan Nielsen, Kris Richard",1,0
"270",2023,"NO","Dennis Allen","Pete Carmichael","Joe Woods",1,0
"271",2024,"NO","Darren Rizzi","Klint Kubiak","Joe Woods",1,0
"272",2024,"NO","Dennis Allen","Klint Kubiak","Joe Woods",1,0
"273",2025,"NO","Kellen Moore","Doug Nussmeier","Brandon Staley",1,0
"274",2015,"NYG","Tom Coughlin","Ben McAdoo","Steve Spagnuolo",1,0
"275",2016,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",2,0.676470588235294
"276",2017,"NYG","Steve Spagnuolo","Mike Sullivan","",1,0
"277",2017,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",1,0
"278",2018,"NYG","Pat Shurmur","Mike Shula","James Bettcher",1,0
"279",2019,"NYG","Pat Shurmur","Mike Shula","James Bettcher",1,0
"280",2020,"NYG","Joe Judge","Jason Garrett","Patrick Graham",1,0
"281",2021,"NYG","Joe Judge","Jason Garrett, Freddie Kitchens","Patrick Graham",1,0
"282",2022,"NYG","Brian Daboll","Mike Kafka","Don Martindale",3,0.794117647058823
"283",2023,"NYG","Brian Daboll","Mike Kafka","Don Martindale",1,0
"284",2024,"NYG","Brian Daboll","Mike Kafka","Shane Bowen",1,0
"285",2025,"NYG","Mike Kafka","","Shane Bowen, Charlie Bullen",1,0
"286",2025,"NYG","Brian Daboll","Mike Kafka","Shane Bowen, Charlie Bullen",1,0
"287",2015,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",1,0
"288",2016,"NYJ","Todd Bowles","Chan Gailey","Kacy Rodgers",1,0
"289",2017,"NYJ","Todd Bowles","John Morton","Kacy Rodgers",1,0
"290",2018,"NYJ","Todd Bowles","Jeremy Bates","Kacy Rodgers",1,0
"291",2019,"NYJ","Adam Gase","Dowell Loggains","Gregg Williams",1,0
"292",2020,"NYJ","Adam Gase","Dowell Loggains","Frank Bush, Gregg Williams",1,0
"293",2021,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",1,0
"294",2022,"NYJ","Robert Saleh","Mike LaFleur","Jeff Ulbrich",1,0
"295",2023,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",1,0
"296",2024,"NYJ","Jeff Ulbrich","Nathaniel Hackett","",1,0
"297",2024,"NYJ","Robert Saleh","Nathaniel Hackett","Jeff Ulbrich",1,0
"298",2025,"NYJ","Aaron Glenn","Tanner Engstrand","Steve Wilks",1,0
"299",2015,"PHI","Pat Shurmur","","Bill Davis",1,0
"300",2015,"PHI","Chip Kelly","Pat Shurmur","Bill Davis",1,0
"301",2016,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",1,0
"302",2017,"PHI","Doug Pederson","Frank Reich","Jim Schwartz",6,1
"303",2018,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",3,0.787878787878788
"304",2019,"PHI","Doug Pederson","Mike Groh","Jim Schwartz",2,0.666666666666667
"305",2020,"PHI","Doug Pederson","","Jim Schwartz",1,0
"306",2021,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",2,0.575757575757576
"307",2022,"PHI","Nick Sirianni","Shane Steichen","Jonathan Gannon",5,0.970588235294118
"308",2023,"PHI","Nick Sirianni","Brian Johnson","Sean Desai",2,0.617647058823529
"309",2024,"PHI","Nick Sirianni","Kellen Moore","Vic Fangio",6,1
"310",2025,"PHI","Nick Sirianni","Kevin Patullo","Vic Fangio",2,0.606060606060606
"311",2015,"PIT","Mike Tomlin","Todd Haley","Keith Butler",3,0.794117647058823
"312",2016,"PIT","Mike Tomlin","Todd Haley","Keith Butler",4,0.911764705882353
"313",2017,"PIT","Mike Tomlin","Todd Haley","Keith Butler",3,0.78125
"314",2018,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",1,0
"315",2019,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",1,0
"316",2020,"PIT","Mike Tomlin","Randy Fichtner","Keith Butler",2,0.617647058823529
"317",2021,"PIT","Mike Tomlin","Matt Canada","Keith Butler",2,0.575757575757576
"318",2022,"PIT","Mike Tomlin","Matt Canada","Teryl Austin",1,0
"319",2023,"PIT","Mike Tomlin","Matt Canada, Eddie Faulkner","Teryl Austin",2,0.617647058823529
"320",2024,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",2,0.617647058823529
"321",2025,"PIT","Mike Tomlin","Arthur Smith","Teryl Austin",2,0.606060606060606
"322",2015,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",3,0.794117647058823
"323",2016,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",3,0.794117647058823
"324",2017,"SEA","Pete Carroll","Darrell Bevell","Kris Richard",1,0
"325",2018,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",2,0.666666666666667
"326",2019,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",3,0.787878787878788
"327",2020,"SEA","Pete Carroll","Brian Schottenheimer","Ken Norton",2,0.617647058823529
"328",2021,"SEA","Pete Carroll","Shane Waldron","Ken Norton",1,0
"329",2022,"SEA","Pete Carroll","Shane Waldron","Clint Hurtt",2,0.617647058823529
