"","season","team","coach","offense","defense","win_pct","win_percentile"
"22",2024,"ATL","Raheem Morris","Zac Robinson","Jimmy Lake",0.470588235294118,0.441176470588235
"23",2025,"ATL","Raheem Morris","Zac Robinson","Jeff Ulbrich",0.470588235294118,0.424242424242424
"24",2015,"BAL","John Harbaugh","Marc Trestman","Dean Pees",0.3125,0.147058823529412
"25",2016,"BAL","John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees",0.5,0.470588235294118
"26",2017,"BAL","John Harbaugh","Marty Mornhinweg","Dean Pees",0.5625,0.5
"27",2018,"BAL","John Harbaugh","Marty Mornhinweg","Don Martindale",0.625,0.696969696969697
"28",2019,"BAL","John Harbaugh","Greg Roman","Don Martindale",0.875,1
"29",2020,"BAL","John Harbaugh","Greg Roman","Don Martindale",0.6875,0.705882352941177
"30",2021,"BAL","John Harbaugh","Greg Roman","Don Martindale",0.470588235294118,0.363636363636364
"31",2022,"BAL","John Harbaugh","Greg Roman","Mike Macdonald",0.588235294117647,0.764705882352941
"32",2023,"BAL","John Harbaugh","Todd Monken","Mike Macdonald",0.764705882352941,1
"33",2024,"BAL","John Harbaugh","Todd Monken","Zach Orr",0.705882352941177,0.823529411764706
"34",2025,"BAL","John Harbaugh","Todd Monken","Zach Orr",0.470588235294118,0.424242424242424
"35",2015,"BUF","Rex Ryan","Greg Roman","Dennis Thurman",0.5,0.558823529411765
"36",2016,"BUF","Anthony Lynn","Greg Roman","Dennis Thurman",0.4375,0.323529411764706
"37",2016,"BUF","Rex Ryan","Anthony Lynn, Greg Roman","Dennis Thurman",0.4375,0.323529411764706
"38",2017,"BUF","Sean McDermott","Rick Dennison","Leslie Frazier",0.5625,0.5
"39",2018,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",0.375,0.212121212121212
"40",2019,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",0.625,0.727272727272727
"41",2020,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",0.8125,0.941176470588235
"42",2021,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",0.647058823529412,0.787878787878788
"43",2022,"BUF","Sean McDermott","Ken Dorsey","Leslie Frazier",0.8125,0.941176470588235
"44",2023,"BUF","Sean McDermott","Joe Brady, Ken Dorsey","",0.647058823529412,0.764705882352941
"45",2024,"BUF","Sean McDermott","Joe Brady","Bobby Babich",0.764705882352941,0.882352941176471
"46",2025,"BUF","Sean McDermott","Joe Brady","Bobby Babich",0.705882352941177,0.787878787878788
"47",2015,"CAR","Ron Rivera","Mike Shula","Sean McDermott",0.9375,1
"48",2016,"CAR","Ron Rivera","Mike Shula","Sean McDermott",0.375,0.264705882352941
"49",2017,"CAR","Ron Rivera","Mike Shula","Steve Wilks",0.6875,0.8125
"50",2018,"CAR","Ron Rivera","Norv Turner","Eric Washington",0.4375,0.393939393939394
"51",2019,"CAR","Perry Fewell","Norv Turner, Scott Turner","Eric Washington",0.3125,0.151515151515152
"52",2019,"CAR","Ron Rivera","Norv Turner, Scott Turner","Eric Washington",0.3125,0.151515151515152
"53",2020,"CAR","Matt Rhule","Joe Brady","Phil Snow",0.3125,0.235294117647059
"54",2021,"CAR","Matt Rhule","Joe Brady, Jeff Nixon","Phil Snow",0.294117647058824,0.181818181818182
"55",2022,"CAR","Steve Wilks","Ben McAdoo","Al Holcomb, Phil Snow",0.411764705882353,0.264705882352941
"56",2022,"CAR","Matt Rhule","Ben McAdoo","Al Holcomb, Phil Snow",0.411764705882353,0.264705882352941
"57",2023,"CAR","Chris Tabor","Thomas Brown","Ejiro Evero",0.117647058823529,0
"58",2023,"CAR","Frank Reich","Thomas Brown","Ejiro Evero",0.117647058823529,0
"59",2024,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",0.294117647058824,0.176470588235294
"60",2025,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",0.470588235294118,0.424242424242424
"61",2015,"CHI","John Fox","Adam Gase","Vic Fangio",0.375,0.235294117647059
"62",2016,"CHI","John Fox","Dowell Loggains","Vic Fangio",0.1875,0.0588235294117647
"63",2017,"CHI","John Fox","Dowell Loggains","Vic Fangio",0.3125,0.15625
"64",2018,"CHI","Matt Nagy","Mark Helfrich","Vic Fangio",0.75,0.878787878787879
"65",2019,"CHI","Matt Nagy","Mark Helfrich","Chuck Pagano",0.5,0.545454545454545
"66",2020,"CHI","Matt Nagy","Bill Lazor","Chuck Pagano",0.5,0.558823529411765
"67",2021,"CHI","Matt Nagy","Bill Lazor","Sean Desai",0.352941176470588,0.212121212121212
"68",2022,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",0.176470588235294,0
"69",2023,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",0.411764705882353,0.264705882352941
"70",2024,"CHI","Thomas Brown","Chris Beatty, Shane Waldron","Eric Washington",0.294117647058824,0.176470588235294
"71",2024,"CHI","Matt Eberflus","Chris Beatty, Thomas Brown, Shane Waldron","Eric Washington",0.294117647058824,0.176470588235294
"72",2025,"CHI","Ben Johnson","Declan Doyle","Dennis Allen",0.647058823529412,0.696969696969697
"73",2015,"CIN","Marvin Lewis","Hue Jackson","Paul Guenther",0.75,0.882352941176471
"74",2016,"CIN","Marvin Lewis","Ken Zampese","Paul Guenther",0.375,0.264705882352941
"75",2017,"CIN","Marvin Lewis","Bill Lazor, Ken Zampese","Paul Guenther",0.4375,0.375
"76",2018,"CIN","Marvin Lewis","Bill Lazor","Teryl Austin",0.375,0.212121212121212
"77",2019,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",0.125,0
"78",2020,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",0.25,0.0588235294117647
"79",2021,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",0.588235294117647,0.636363636363636
"80",2022,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",0.75,0.852941176470588
"81",2023,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",0.529411764705882,0.470588235294118
"82",2024,"CIN","Zac Taylor","Dan Pitcher","Lou Anarumo",0.529411764705882,0.558823529411765
"83",2025,"CIN","Zac Taylor","Dan Pitcher","Al Golden",0.352941176470588,0.272727272727273
"84",2015,"CLE","Mike Pettine","John DeFilippo","Jim O'Neil",0.1875,0
"85",2016,"CLE","Hue Jackson","","Ray Horton",0.0625,0
"86",2017,"CLE","Hue Jackson","","Gregg Williams",0,0
"87",2018,"CLE","Gregg Williams","Todd Haley, Freddie Kitchens","",0.4375,0.393939393939394
"88",2018,"CLE","Hue Jackson","Todd Haley, Freddie Kitchens","Gregg Williams",0.4375,0.393939393939394
"89",2019,"CLE","Freddie Kitchens","Todd Monken","Steve Wilks",0.375,0.303030303030303
"90",2020,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",0.6875,0.705882352941177
"91",2021,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",0.470588235294118,0.363636363636364
"92",2022,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",0.411764705882353,0.264705882352941
"93",2023,"CLE","Kevin Stefanski","Alex Van Pelt","Jim Schwartz",0.647058823529412,0.764705882352941
"94",2024,"CLE","Kevin Stefanski","Ken Dorsey","Jim Schwartz",0.176470588235294,0
"95",2025,"CLE","Kevin Stefanski","Tommy Rees","Jim Schwartz",0.294117647058824,0.212121212121212
"96",2015,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",0.25,0.0882352941176471
"97",2016,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",0.8125,0.970588235294118
"98",2017,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",0.5625,0.5
"99",2018,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",0.625,0.696969696969697
"100",2019,"DAL","Jason Garrett","Kellen Moore","Rod Marinelli",0.5,0.545454545454545
"101",2020,"DAL","Mike McCarthy","Kellen Moore","Mike Nolan",0.375,0.352941176470588
"102",2021,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",0.705882352941177,0.848484848484849
"103",2022,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",0.705882352941177,0.823529411764706
"104",2023,"DAL","Mike McCarthy","Brian Schottenheimer","Dan Quinn",0.705882352941177,0.911764705882353
"105",2024,"DAL","Mike McCarthy","Brian Schottenheimer","Mike Zimmer",0.411764705882353,0.411764705882353
"106",2025,"DAL","Brian Schottenheimer","Klayton Adams","Matt Eberflus",0.411764705882353,0.363636363636364
"107",2015,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",0.75,0.882352941176471
"108",2016,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",0.5625,0.588235294117647
"109",2017,"DEN","Vance Joseph","Mike McCoy, Bill Musgrave","Joe Woods",0.3125,0.15625
"110",2018,"DEN","Vance Joseph","Bill Musgrave","Joe Woods",0.375,0.212121212121212
"111",2019,"DEN","Vic Fangio","Rich Scangarello","Ed Donatell",0.4375,0.363636363636364
"112",2020,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",0.3125,0.235294117647059
"113",2021,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",0.411764705882353,0.242424242424242
"114",2022,"DEN","Jerry Rosburg","Justin Outten","Ejiro Evero",0.294117647058824,0.147058823529412
"115",2022,"DEN","Nathaniel Hackett","Justin Outten","Ejiro Evero",0.294117647058824,0.147058823529412
"116",2023,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",0.470588235294118,0.382352941176471
"117",2024,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",0.588235294117647,0.588235294117647
"118",2025,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",0.823529411764706,0.939393939393939
"119",2015,"DET","Jim Caldwell","Jim Bob Cooter, Joe Lombardi","Teryl Austin",0.4375,0.382352941176471
"120",2016,"DET","Jim Caldwell","Jim Bob Cooter","Teryl Austin",0.5625,0.588235294117647
"121",2017,"DET","Jim Caldwell","Jim Bob Cooter","Teryl Austin",0.5625,0.5
"122",2018,"DET","Matt Patricia","Jim Bob Cooter","Paul Pasqualoni",0.375,0.212121212121212
"123",2019,"DET","Matt Patricia","Darrell Bevell","Paul Pasqualoni",0.1875,0.0303030303030303
"124",2020,"DET","Darrell Bevell","","Cory Undlin",0.3125,0.235294117647059
"125",2020,"DET","Matt Patricia","Darrell Bevell","Cory Undlin",0.3125,0.235294117647059
"126",2021,"DET","Dan Campbell","Anthony Lynn","Aaron Glenn",0.176470588235294,0
"127",2022,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",0.529411764705882,0.588235294117647
"128",2023,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",0.705882352941177,0.911764705882353
"129",2024,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",0.882352941176471,0.970588235294118
"130",2025,"DET","Dan Campbell","John Morton","Kelvin Sheppard",0.529411764705882,0.575757575757576
"131",2015,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",0.625,0.705882352941177
"132",2016,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",0.625,0.735294117647059
"133",2017,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",0.4375,0.375
"134",2018,"GB","Joe Philbin","","Mike Pettine",0.375,0.212121212121212
"135",2018,"GB","Mike McCarthy","Joe Philbin","Mike Pettine",0.375,0.212121212121212
"136",2019,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",0.8125,0.909090909090909
"137",2020,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",0.8125,0.941176470588235
"138",2021,"GB","Matt LaFleur","Nathaniel Hackett","Joe Barry",0.764705882352941,0.96969696969697
"139",2022,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",0.470588235294118,0.470588235294118
"140",2023,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",0.529411764705882,0.470588235294118
"141",2024,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",0.647058823529412,0.764705882352941
"142",2025,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",0.529411764705882,0.575757575757576
"143",2015,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",0.5625,0.647058823529412
"144",2016,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",0.5625,0.588235294117647
"145",2017,"HOU","Bill O'Brien","","Mike Vrabel",0.25,0.09375
"146",2018,"HOU","Bill O'Brien","","Romeo Crennel",0.6875,0.818181818181818
"147",2019,"HOU","Bill O'Brien","Tim Kelly","Romeo Crennel",0.625,0.727272727272727
"148",2020,"HOU","Romeo Crennel","Tim Kelly","Anthony Weaver",0.25,0.0588235294117647
"149",2020,"HOU","Bill O'Brien","Tim Kelly","Anthony Weaver",0.25,0.0588235294117647
"150",2021,"HOU","David Culley","Tim Kelly","Lovie Smith",0.235294117647059,0.0909090909090909
"151",2022,"HOU","Lovie Smith","Pep Hamilton","",0.176470588235294,0
"152",2023,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",0.588235294117647,0.676470588235294
"153",2024,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",0.588235294117647,0.588235294117647
"154",2025,"HOU","DeMeco Ryans","Nick Caley","Matt Burke",0.705882352941177,0.787878787878788
"155",2015,"IND","Chuck Pagano","Rob Chudzinski, Pep Hamilton","Greg Manusky",0.5,0.558823529411765
"156",2016,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",0.5,0.470588235294118
"157",2017,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",0.25,0.09375
"158",2018,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",0.625,0.696969696969697
"159",2019,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",0.4375,0.363636363636364
"160",2020,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",0.6875,0.705882352941177
"161",2021,"IND","Frank Reich","Marcus Brady","Matt Eberflus",0.529411764705882,0.454545454545455
"162",2022,"IND","Jeff Saturday","Marcus Brady","Gus Bradley",0.235294117647059,0.0588235294117647
"163",2022,"IND","Frank Reich","Marcus Brady","Gus Bradley",0.235294117647059,0.0588235294117647
"164",2023,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",0.529411764705882,0.470588235294118
"165",2024,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",0.470588235294118,0.441176470588235
"166",2025,"IND","Shane Steichen","Jim Bob Cooter","Lou Anarumo",0.470588235294118,0.424242424242424
"167",2015,"JAX","Gus Bradley","Greg Olson","Bob Babich",0.3125,0.147058823529412
"168",2016,"JAX","Doug Marrone","Nathaniel Hackett, Greg Olson","Todd Wash",0.1875,0.0588235294117647
"169",2016,"JAX","Gus Bradley","Nathaniel Hackett, Greg Olson","Todd Wash",0.1875,0.0588235294117647
"170",2017,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",0.625,0.71875
"171",2018,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",0.3125,0.121212121212121
"172",2019,"JAX","Doug Marrone","John DeFilippo","Todd Wash",0.375,0.303030303030303
"173",2020,"JAX","Doug Marrone","Jay Gruden","Todd Wash",0.0625,0
"174",2021,"JAX","Darrell Bevell","","Joe Cullen",0.176470588235294,0
"175",2021,"JAX","Urban Meyer","Darrell Bevell","Joe Cullen",0.176470588235294,0
"176",2022,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",0.529411764705882,0.588235294117647
"177",2023,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",0.529411764705882,0.470588235294118
"178",2024,"JAX","Doug Pederson","Press Taylor","Ryan Nielsen",0.235294117647059,0.0882352941176471
"179",2025,"JAX","Liam Coen","Grant Udinski","Anthony Campanile",0.764705882352941,0.909090909090909
"180",2015,"KC","Andy Reid","Doug Pederson","Bob Sutton",0.6875,0.823529411764706
"181",2016,"KC","Andy Reid","Brad Childress","Bob Sutton",0.75,0.911764705882353
"182",2017,"KC","Andy Reid","Matt Nagy","Bob Sutton",0.625,0.71875
"183",2018,"KC","Andy Reid","Eric Bieniemy","Bob Sutton",0.75,0.878787878787879
"184",2019,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",0.75,0.848484848484849
"185",2020,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",0.875,1
"186",2021,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",0.705882352941177,0.848484848484849
"187",2022,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",0.823529411764706,0.970588235294118
"188",2023,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",0.647058823529412,0.764705882352941
"189",2024,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",0.882352941176471,0.970588235294118
"190",2025,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",0.352941176470588,0.272727272727273
"191",2015,"LAC","Mike McCoy","Frank Reich","John Pagano",0.25,0.0882352941176471
"192",2016,"LAC","Mike McCoy","Ken Whisenhunt","John Pagano",0.3125,0.205882352941176
"193",2017,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",0.5625,0.5
"194",2018,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",0.75,0.878787878787879
"195",2019,"LAC","Anthony Lynn","Shane Steichen, Ken Whisenhunt","Gus Bradley",0.3125,0.151515151515152
"196",2020,"LAC","Anthony Lynn","Shane Steichen","Gus Bradley",0.4375,0.441176470588235
"197",2021,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",0.529411764705882,0.454545454545455
"198",2022,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",0.588235294117647,0.764705882352941
"199",2023,"LAC","Giff Smith","Kellen Moore","Derrick Ansley",0.294117647058824,0.147058823529412
"200",2023,"LAC","Brandon Staley","Kellen Moore","Derrick Ansley",0.294117647058824,0.147058823529412
"201",2024,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",0.647058823529412,0.764705882352941
"202",2025,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",0.647058823529412,0.696969696969697
"203",2015,"LAR","Jeff Fisher","Rob Boras, Frank Cignetti","Gregg Williams",0.4375,0.382352941176471
"204",2016,"LAR","John Fassel","Rob Boras","Gregg Williams",0.25,0.147058823529412
"205",2016,"LAR","Jeff Fisher","Rob Boras","Gregg Williams",0.25,0.147058823529412
"206",2017,"LAR","Sean McVay","Matt LaFleur","Wade Phillips",0.6875,0.8125
"207",2018,"LAR","Sean McVay","","Wade Phillips",0.8125,0.96969696969697
"208",2019,"LAR","Sean McVay","","Wade Phillips",0.5625,0.636363636363636
"209",2020,"LAR","Sean McVay","Kevin O'Connell","Brandon Staley",0.625,0.647058823529412
"210",2021,"LAR","Sean McVay","Kevin O'Connell","Raheem Morris",0.705882352941177,0.848484848484849
"211",2022,"LAR","Sean McVay","Liam Coen","Raheem Morris",0.294117647058824,0.147058823529412
"212",2023,"LAR","Sean McVay","Mike LaFleur","Raheem Morris",0.588235294117647,0.676470588235294
"213",2024,"LAR","Sean McVay","Mike LaFleur","Chris Shula",0.588235294117647,0.588235294117647
"214",2025,"LAR","Sean McVay","Mike LaFleur","Chris Shula",0.705882352941177,0.787878787878788
"215",2015,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",0.4375,0.382352941176471
"216",2016,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",0.75,0.911764705882353
"217",2017,"LV","Jack Del Rio","Todd Downing","Ken Norton, John Pagano",0.375,0.28125
"218",2018,"LV","Jon Gruden","Greg Olson","Paul Guenther",0.25,0.0303030303030303
"219",2019,"LV","Jon Gruden","Greg Olson","Paul Guenther",0.4375,0.363636363636364
"220",2020,"LV","Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli",0.5,0.558823529411765
"221",2021,"LV","Rich Bisaccia","Greg Olson","Gus Bradley",0.588235294117647,0.636363636363636
"222",2021,"LV","Jon Gruden","Greg Olson","Gus Bradley",0.588235294117647,0.636363636363636
"223",2022,"LV","Josh McDaniels","Mick Lombardi","Patrick Graham",0.352941176470588,0.235294117647059
"224",2023,"LV","Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham",0.470588235294118,0.382352941176471
"225",2023,"LV","Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham",0.470588235294118,0.382352941176471
"226",2024,"LV","Antonio Pierce","Luke Getsy, Scott Turner","Patrick Graham",0.235294117647059,0.0882352941176471
"227",2025,"LV","Pete Carroll","Chip Kelly, Greg Olson","Patrick Graham",0.176470588235294,0
"228",2015,"MIA","Dan Campbell","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",0.375,0.235294117647059
"229",2015,"MIA","Joe Philbin","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",0.375,0.235294117647059
"230",2016,"MIA","Adam Gase","Clyde Christensen","Vance Joseph",0.625,0.735294117647059
"231",2017,"MIA","Adam Gase","Clyde Christensen","Matt Burke",0.375,0.28125
"232",2018,"MIA","Adam Gase","Dowell Loggains","Matt Burke",0.4375,0.393939393939394
"233",2019,"MIA","Brian Flores","Chad O'Shea","Patrick Graham",0.3125,0.151515151515152
"234",2020,"MIA","Brian Flores","Chan Gailey","Josh Boyer",0.625,0.647058823529412
"235",2021,"MIA","Brian Flores","George Godsey, Eric Studesville","Josh Boyer",0.529411764705882,0.454545454545455
"236",2022,"MIA","Mike McDaniel","Frank Smith","Josh Boyer",0.529411764705882,0.588235294117647
"237",2023,"MIA","Mike McDaniel","Frank Smith","Vic Fangio",0.647058823529412,0.764705882352941
"238",2024,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",0.470588235294118,0.441176470588235
"239",2025,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",0.411764705882353,0.363636363636364
"240",2015,"MIN","Mike Zimmer","Norv Turner","George Edwards",0.6875,0.823529411764706
"241",2016,"MIN","Mike Zimmer","Pat Shurmur, Norv Turner","George Edwards",0.5,0.470588235294118
"242",2017,"MIN","Mike Zimmer","Pat Shurmur","George Edwards",0.8125,0.90625
"243",2018,"MIN","Mike Zimmer","John DeFilippo","George Edwards",0.5,0.575757575757576
"244",2019,"MIN","Mike Zimmer","Kevin Stefanski","George Edwards",0.625,0.727272727272727
"245",2020,"MIN","Mike Zimmer","Gary Kubiak","Andre Patterson, Adam Zimmer",0.4375,0.441176470588235
"246",2021,"MIN","Mike Zimmer","Klint Kubiak","Andre Patterson, Adam Zimmer",0.470588235294118,0.363636363636364
"247",2022,"MIN","Kevin O'Connell","Wes Phillips","Ed Donatell",0.764705882352941,0.882352941176471
"248",2023,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",0.411764705882353,0.264705882352941
"249",2024,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",0.823529411764706,0.911764705882353
"250",2025,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",0.529411764705882,0.575757575757576
"251",2015,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",0.75,0.882352941176471
"252",2016,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",0.875,1
"253",2017,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",0.8125,0.90625
"254",2018,"NE","Bill Belichick","Josh McDaniels","",0.6875,0.818181818181818
"255",2019,"NE","Bill Belichick","Josh McDaniels","",0.75,0.848484848484849
"256",2020,"NE","Bill Belichick","Josh McDaniels","",0.4375,0.441176470588235
"257",2021,"NE","Bill Belichick","Josh McDaniels","",0.588235294117647,0.636363636363636
"258",2022,"NE","Bill Belichick","","",0.470588235294118,0.470588235294118
"259",2023,"NE","Bill Belichick","Bill O'Brien","",0.235294117647059,0.0588235294117647
"260",2024,"NE","Jerod Mayo","Alex Van Pelt","DeMarcus Covington",0.235294117647059,0.0882352941176471
"261",2025,"NE","Mike Vrabel","Josh McDaniels","Terrell Williams",0.823529411764706,0.939393939393939
"262",2015,"NO","Sean Payton","Pete Carmichael","Dennis Allen, Rob Ryan",0.4375,0.382352941176471
"263",2016,"NO","Sean Payton","Pete Carmichael","Dennis Allen",0.4375,0.323529411764706
"264",2017,"NO","Sean Payton","Pete Carmichael","Dennis Allen",0.6875,0.8125
"265",2018,"NO","Sean Payton","Pete Carmichael","Dennis Allen",0.8125,0.96969696969697
"266",2019,"NO","Sean Payton","Pete Carmichael","Dennis Allen",0.8125,0.909090909090909
"267",2020,"NO","Sean Payton","Pete Carmichael","Dennis Allen",0.75,0.852941176470588
"268",2021,"NO","Sean Payton","Pete Carmichael","Dennis Allen",0.529411764705882,0.454545454545455
"269",2022,"NO","Dennis Allen","Pete Carmichael","Ryan Nielsen, Kris Richard",0.411764705882353,0.264705882352941
"270",2023,"NO","Dennis Allen","Pete Carmichael","Joe Woods",0.529411764705882,0.470588235294118
"271",2024,"NO","Darren Rizzi","Klint Kubiak","Joe Woods",0.294117647058824,0.176470588235294
"272",2024,"NO","Dennis Allen","Klint Kubiak","Joe Woods",0.294117647058824,0.176470588235294
"273",2025,"NO","Kellen Moore","Doug Nussmeier","Brandon Staley",0.352941176470588,0.272727272727273
"274",2015,"NYG","Tom Coughlin","Ben McAdoo","Steve Spagnuolo",0.375,0.235294117647059
"275",2016,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",0.6875,0.823529411764706
"276",2017,"NYG","Steve Spagnuolo","Mike Sullivan","",0.1875,0.03125
"277",2017,"NYG","Ben McAdoo","Mike Sullivan","Steve Spagnuolo",0.1875,0.03125
"278",2018,"NYG","Pat Shurmur","Mike Shula","James Bettcher",0.3125,0.121212121212121
"279",2019,"NYG","Pat Shurmur","Mike Shula","James Bettcher",0.25,0.121212121212121
"280",2020,"NYG","Joe Judge","Jason Garrett","Patrick Graham",0.375,0.352941176470588
"281",2021,"NYG","Joe Judge","Jason Garrett, Freddie Kitchens","Patrick Graham",0.235294117647059,0.0909090909090909
