"","season","team","coach","offense","defense","one_score_wins","one_score_losses","close_win_pct","close_win_percentile"
"19",2021,"ATL","Arthur Smith","Dave Ragone","Dean Pees",7,2,0.777777777777778,0.878787878787879
"20",2022,"ATL","Arthur Smith","Dave Ragone","Dean Pees",5,8,0.384615384615385,0.264705882352941
"21",2023,"ATL","Arthur Smith","Dave Ragone","Ryan Nielsen",4,6,0.4,0.264705882352941
"22",2024,"ATL","Raheem Morris","Zac Robinson","Jimmy Lake",6,6,0.5,0.5
"23",2025,"ATL","Raheem Morris","Zac Robinson","Jeff Ulbrich",5,5,0.5,0.515151515151515
"24",2015,"BAL","John Harbaugh","Marc Trestman","Dean Pees",5,9,0.357142857142857,0.205882352941176
"25",2016,"BAL","John Harbaugh","Marty Mornhinweg, Marc Trestman","Dean Pees",6,6,0.5,0.5
"26",2017,"BAL","John Harbaugh","Marty Mornhinweg","Dean Pees",2,5,0.285714285714286,0.09375
"27",2018,"BAL","John Harbaugh","Marty Mornhinweg","Don Martindale",3,4,0.428571428571429,0.363636363636364
"28",2019,"BAL","John Harbaugh","Greg Roman","Don Martindale",5,1,0.833333333333333,0.909090909090909
"29",2020,"BAL","John Harbaugh","Greg Roman","Don Martindale",2,4,0.333333333333333,0.205882352941176
"30",2021,"BAL","John Harbaugh","Greg Roman","Don Martindale",6,6,0.5,0.484848484848485
"31",2022,"BAL","John Harbaugh","Greg Roman","Mike Macdonald",6,5,0.545454545454545,0.617647058823529
"32",2023,"BAL","John Harbaugh","Todd Monken","Mike Macdonald",4,4,0.5,0.441176470588235
"33",2024,"BAL","John Harbaugh","Todd Monken","Zach Orr",5,5,0.5,0.5
"34",2025,"BAL","John Harbaugh","Todd Monken","Zach Orr",2,5,0.285714285714286,0.121212121212121
"35",2015,"BUF","Rex Ryan","Greg Roman","Dennis Thurman",3,5,0.375,0.235294117647059
"36",2016,"BUF","Anthony Lynn","Greg Roman","Dennis Thurman",2,6,0.25,0.205882352941176
"37",2016,"BUF","Rex Ryan","Anthony Lynn, Greg Roman","Dennis Thurman",2,6,0.25,0.205882352941176
"38",2017,"BUF","Sean McDermott","Rick Dennison","Leslie Frazier",6,2,0.75,0.875
"39",2018,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",3,3,0.5,0.424242424242424
"40",2019,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",4,5,0.444444444444444,0.393939393939394
"41",2020,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",5,1,0.833333333333333,0.970588235294118
"42",2021,"BUF","Sean McDermott","Brian Daboll","Leslie Frazier",0,5,0,0
"43",2022,"BUF","Sean McDermott","Ken Dorsey","Leslie Frazier",6,3,0.666666666666667,0.823529411764706
"44",2023,"BUF","Sean McDermott","Joe Brady, Ken Dorsey","",6,6,0.5,0.441176470588235
"45",2024,"BUF","Sean McDermott","Joe Brady","Bobby Babich",5,3,0.625,0.823529411764706
"46",2025,"BUF","Sean McDermott","Joe Brady","Bobby Babich",5,3,0.625,0.696969696969697
"47",2015,"CAR","Ron Rivera","Mike Shula","Sean McDermott",7,1,0.875,1
"48",2016,"CAR","Ron Rivera","Mike Shula","Sean McDermott",2,6,0.25,0.205882352941176
"49",2017,"CAR","Ron Rivera","Mike Shula","Steve Wilks",8,1,0.888888888888889,1
"50",2018,"CAR","Ron Rivera","Norv Turner","Eric Washington",3,7,0.3,0.0909090909090909
"51",2019,"CAR","Perry Fewell","Norv Turner, Scott Turner","Eric Washington",2,6,0.25,0.0909090909090909
"52",2019,"CAR","Ron Rivera","Norv Turner, Scott Turner","Eric Washington",2,6,0.25,0.0909090909090909
"53",2020,"CAR","Matt Rhule","Joe Brady","Phil Snow",3,8,0.272727272727273,0.147058823529412
"54",2021,"CAR","Matt Rhule","Joe Brady, Jeff Nixon","Phil Snow",2,6,0.25,0.0909090909090909
"55",2022,"CAR","Steve Wilks","Ben McAdoo","Al Holcomb, Phil Snow",3,5,0.375,0.205882352941176
"56",2022,"CAR","Matt Rhule","Ben McAdoo","Al Holcomb, Phil Snow",3,5,0.375,0.205882352941176
"57",2023,"CAR","Chris Tabor","Thomas Brown","Ejiro Evero",2,6,0.25,0
"58",2023,"CAR","Frank Reich","Thomas Brown","Ejiro Evero",2,6,0.25,0
"59",2024,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",4,3,0.571428571428571,0.676470588235294
"60",2025,"CAR","Dave Canales","Brad Idzik","Ejiro Evero",7,3,0.7,0.848484848484849
"61",2015,"CHI","John Fox","Adam Gase","Vic Fangio",5,7,0.416666666666667,0.294117647058824
"62",2016,"CHI","John Fox","Dowell Loggains","Vic Fangio",1,6,0.142857142857143,0
"63",2017,"CHI","John Fox","Dowell Loggains","Vic Fangio",2,6,0.25,0.0625
"64",2018,"CHI","Matt Nagy","Mark Helfrich","Vic Fangio",6,4,0.6,0.757575757575758
"65",2019,"CHI","Matt Nagy","Mark Helfrich","Chuck Pagano",6,5,0.545454545454545,0.636363636363636
"66",2020,"CHI","Matt Nagy","Bill Lazor","Chuck Pagano",6,5,0.545454545454545,0.676470588235294
"67",2021,"CHI","Matt Nagy","Bill Lazor","Sean Desai",3,3,0.5,0.484848484848485
"68",2022,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",1,7,0.125,0
"69",2023,"CHI","Matt Eberflus","Luke Getsy","Alan Williams",2,6,0.25,0
"70",2024,"CHI","Thomas Brown","Chris Beatty, Shane Waldron","Eric Washington",3,7,0.3,0.205882352941176
"71",2024,"CHI","Matt Eberflus","Chris Beatty, Thomas Brown, Shane Waldron","Eric Washington",3,7,0.3,0.205882352941176
"72",2025,"CHI","Ben Johnson","Declan Doyle","Dennis Allen",7,4,0.636363636363636,0.727272727272727
"73",2015,"CIN","Marvin Lewis","Hue Jackson","Paul Guenther",5,3,0.625,0.705882352941177
"74",2016,"CIN","Marvin Lewis","Ken Zampese","Paul Guenther",1,6,0.142857142857143,0
"75",2017,"CIN","Marvin Lewis","Bill Lazor, Ken Zampese","Paul Guenther",4,4,0.5,0.53125
"76",2018,"CIN","Marvin Lewis","Bill Lazor","Teryl Austin",2,5,0.285714285714286,0.0606060606060606
"77",2019,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",0,8,0,0
"78",2020,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",2,5,0.285714285714286,0.176470588235294
"79",2021,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",4,5,0.444444444444444,0.393939393939394
"80",2022,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",5,3,0.625,0.764705882352941
"81",2023,"CIN","Zac Taylor","Brian Callahan","Lou Anarumo",5,4,0.555555555555556,0.676470588235294
"82",2024,"CIN","Zac Taylor","Dan Pitcher","Lou Anarumo",4,7,0.363636363636364,0.352941176470588
"83",2025,"CIN","Zac Taylor","Dan Pitcher","Al Golden",3,5,0.375,0.333333333333333
"84",2015,"CLE","Mike Pettine","John DeFilippo","Jim O'Neil",1,5,0.166666666666667,0
"85",2016,"CLE","Hue Jackson","","Ray Horton",1,5,0.166666666666667,0.0882352941176471
"86",2017,"CLE","Hue Jackson","","Gregg Williams",0,6,0,0
"87",2018,"CLE","Gregg Williams","Todd Haley, Freddie Kitchens","",5,4,0.555555555555556,0.636363636363636
"88",2018,"CLE","Hue Jackson","Todd Haley, Freddie Kitchens","Gregg Williams",5,4,0.555555555555556,0.636363636363636
"89",2019,"CLE","Freddie Kitchens","Todd Monken","Steve Wilks",2,4,0.333333333333333,0.212121212121212
"90",2020,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",7,2,0.777777777777778,0.882352941176471
"91",2021,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",5,6,0.454545454545455,0.454545454545455
"92",2022,"CLE","Kevin Stefanski","Alex Van Pelt","Joe Woods",2,6,0.25,0.0294117647058824
"93",2023,"CLE","Kevin Stefanski","Alex Van Pelt","Jim Schwartz",6,2,0.75,0.970588235294118
"94",2024,"CLE","Kevin Stefanski","Ken Dorsey","Jim Schwartz",3,4,0.428571428571429,0.441176470588235
"95",2025,"CLE","Kevin Stefanski","Tommy Rees","Jim Schwartz",3,6,0.333333333333333,0.303030303030303
"96",2015,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",2,6,0.25,0.0294117647058824
"97",2016,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",7,2,0.777777777777778,0.911764705882353
"98",2017,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",2,2,0.5,0.53125
"99",2018,"DAL","Jason Garrett","Scott Linehan","Rod Marinelli",9,3,0.75,0.909090909090909
"100",2019,"DAL","Jason Garrett","Kellen Moore","Rod Marinelli",1,6,0.142857142857143,0.0303030303030303
"101",2020,"DAL","Mike McCarthy","Kellen Moore","Mike Nolan",4,4,0.5,0.5
"102",2021,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",5,3,0.625,0.727272727272727
"103",2022,"DAL","Mike McCarthy","Kellen Moore","Dan Quinn",5,2,0.714285714285714,0.911764705882353
"104",2023,"DAL","Mike McCarthy","Brian Schottenheimer","Dan Quinn",3,2,0.6,0.764705882352941
"105",2024,"DAL","Mike McCarthy","Brian Schottenheimer","Mike Zimmer",5,5,0.5,0.5
"106",2025,"DAL","Brian Schottenheimer","Klayton Adams","Matt Eberflus",4,3,0.571428571428571,0.606060606060606
"107",2015,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",9,3,0.75,0.941176470588235
"108",2016,"DEN","Gary Kubiak","Rick Dennison","Wade Phillips",3,4,0.428571428571429,0.411764705882353
"109",2017,"DEN","Vance Joseph","Mike McCoy, Bill Musgrave","Joe Woods",2,3,0.4,0.375
"110",2018,"DEN","Vance Joseph","Bill Musgrave","Joe Woods",4,6,0.4,0.333333333333333
"111",2019,"DEN","Vic Fangio","Rich Scangarello","Ed Donatell",4,5,0.444444444444444,0.393939393939394
"112",2020,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",4,6,0.4,0.352941176470588
"113",2021,"DEN","Vic Fangio","Pat Shurmur","Ed Donatell",1,5,0.166666666666667,0.0606060606060606
"114",2022,"DEN","Jerry Rosburg","Justin Outten","Ejiro Evero",4,9,0.307692307692308,0.0882352941176471
"115",2022,"DEN","Nathaniel Hackett","Justin Outten","Ejiro Evero",4,9,0.307692307692308,0.0882352941176471
"116",2023,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",5,4,0.555555555555556,0.676470588235294
"117",2024,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",1,6,0.142857142857143,0.0294117647058824
"118",2025,"DEN","Sean Payton","Joe Lombardi","Vance Joseph",11,2,0.846153846153846,1
"119",2015,"DET","Jim Caldwell","Jim Bob Cooter, Joe Lombardi","Teryl Austin",5,4,0.555555555555556,0.588235294117647
"120",2016,"DET","Jim Caldwell","Jim Bob Cooter","Teryl Austin",8,5,0.615384615384615,0.705882352941177
"121",2017,"DET","Jim Caldwell","Jim Bob Cooter","Teryl Austin",3,4,0.428571428571429,0.5
"122",2018,"DET","Matt Patricia","Jim Bob Cooter","Paul Pasqualoni",2,4,0.333333333333333,0.121212121212121
"123",2019,"DET","Matt Patricia","Darrell Bevell","Paul Pasqualoni",3,8,0.272727272727273,0.151515151515152
"124",2020,"DET","Darrell Bevell","","Cory Undlin",4,4,0.5,0.5
"125",2020,"DET","Matt Patricia","Darrell Bevell","Cory Undlin",4,4,0.5,0.5
"126",2021,"DET","Dan Campbell","Anthony Lynn","Aaron Glenn",2,6,0.25,0.0909090909090909
"127",2022,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",4,5,0.444444444444444,0.470588235294118
"128",2023,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",5,3,0.625,0.852941176470588
"129",2024,"DET","Dan Campbell","Ben Johnson","Aaron Glenn",7,2,0.777777777777778,0.911764705882353
"130",2025,"DET","Dan Campbell","John Morton","Kelvin Sheppard",3,5,0.375,0.333333333333333
"131",2015,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",3,4,0.428571428571429,0.323529411764706
"132",2016,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",6,3,0.666666666666667,0.764705882352941
"133",2017,"GB","Mike McCarthy","Edgar Bennett","Dom Capers",6,2,0.75,0.875
"134",2018,"GB","Joe Philbin","","Mike Pettine",3,6,0.333333333333333,0.121212121212121
"135",2018,"GB","Mike McCarthy","Joe Philbin","Mike Pettine",3,6,0.333333333333333,0.121212121212121
"136",2019,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",8,1,0.888888888888889,1
"137",2020,"GB","Matt LaFleur","Nathaniel Hackett","Mike Pettine",4,2,0.666666666666667,0.794117647058823
"138",2021,"GB","Matt LaFleur","Nathaniel Hackett","Joe Barry",6,3,0.666666666666667,0.787878787878788
"139",2022,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",4,5,0.444444444444444,0.470588235294118
"140",2023,"GB","Matt LaFleur","Adam Stenavich","Joe Barry",6,5,0.545454545454545,0.617647058823529
"141",2024,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",5,5,0.5,0.5
"142",2025,"GB","Matt LaFleur","Adam Stenavich","Jeff Hafley",4,5,0.444444444444444,0.454545454545455
"143",2015,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",3,3,0.5,0.382352941176471
"144",2016,"HOU","Bill O'Brien","George Godsey","Romeo Crennel",8,4,0.666666666666667,0.764705882352941
"145",2017,"HOU","Bill O'Brien","","Mike Vrabel",1,5,0.166666666666667,0.03125
"146",2018,"HOU","Bill O'Brien","","Romeo Crennel",6,5,0.545454545454545,0.575757575757576
"147",2019,"HOU","Bill O'Brien","Tim Kelly","Romeo Crennel",8,3,0.727272727272727,0.878787878787879
"148",2020,"HOU","Romeo Crennel","Tim Kelly","Anthony Weaver",2,8,0.2,0.0294117647058824
"149",2020,"HOU","Bill O'Brien","Tim Kelly","Anthony Weaver",2,8,0.2,0.0294117647058824
"150",2021,"HOU","David Culley","Tim Kelly","Lovie Smith",0,4,0,0
"151",2022,"HOU","Lovie Smith","Pep Hamilton","",3,6,0.333333333333333,0.176470588235294
"152",2023,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",7,3,0.7,0.911764705882353
"153",2024,"HOU","DeMeco Ryans","Bobby Slowik","Matt Burke",7,5,0.583333333333333,0.705882352941177
"154",2025,"HOU","DeMeco Ryans","Nick Caley","Matt Burke",7,5,0.583333333333333,0.666666666666667
"155",2015,"IND","Chuck Pagano","Rob Chudzinski, Pep Hamilton","Greg Manusky",7,4,0.636363636363636,0.823529411764706
"156",2016,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",6,5,0.545454545454545,0.588235294117647
"157",2017,"IND","Chuck Pagano","Rob Chudzinski","Ted Monachino",3,6,0.333333333333333,0.25
"158",2018,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",4,4,0.5,0.424242424242424
"159",2019,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",5,6,0.454545454545455,0.454545454545455
"160",2020,"IND","Frank Reich","Nick Sirianni","Matt Eberflus",5,2,0.714285714285714,0.823529411764706
"161",2021,"IND","Frank Reich","Marcus Brady","Matt Eberflus",2,5,0.285714285714286,0.151515151515152
"162",2022,"IND","Jeff Saturday","Marcus Brady","Gus Bradley",4,6,0.4,0.294117647058824
"163",2022,"IND","Frank Reich","Marcus Brady","Gus Bradley",4,6,0.4,0.294117647058824
"164",2023,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",6,3,0.666666666666667,0.882352941176471
"165",2024,"IND","Shane Steichen","Jim Bob Cooter","Gus Bradley",8,5,0.615384615384615,0.764705882352941
"166",2025,"IND","Shane Steichen","Jim Bob Cooter","Lou Anarumo",3,7,0.3,0.272727272727273
"167",2015,"JAX","Gus Bradley","Greg Olson","Bob Babich",4,6,0.4,0.264705882352941
"168",2016,"JAX","Doug Marrone","Nathaniel Hackett, Greg Olson","Todd Wash",2,8,0.2,0.147058823529412
"169",2016,"JAX","Gus Bradley","Nathaniel Hackett, Greg Olson","Todd Wash",2,8,0.2,0.147058823529412
"170",2017,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",2,3,0.4,0.375
"171",2018,"JAX","Doug Marrone","Nathaniel Hackett","Todd Wash",2,6,0.25,0
"172",2019,"JAX","Doug Marrone","John DeFilippo","Todd Wash",2,3,0.4,0.333333333333333
"173",2020,"JAX","Doug Marrone","Jay Gruden","Todd Wash",1,6,0.142857142857143,0
"174",2021,"JAX","Darrell Bevell","","Joe Cullen",2,4,0.333333333333333,0.181818181818182
"175",2021,"JAX","Urban Meyer","Darrell Bevell","Joe Cullen",2,4,0.333333333333333,0.181818181818182
"176",2022,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",4,6,0.4,0.294117647058824
"177",2023,"JAX","Doug Pederson","Press Taylor","Mike Caldwell",3,4,0.428571428571429,0.352941176470588
"178",2024,"JAX","Doug Pederson","Press Taylor","Ryan Nielsen",3,10,0.230769230769231,0.0588235294117647
"179",2025,"JAX","Liam Coen","Grant Udinski","Anthony Campanile",6,3,0.666666666666667,0.757575757575758
"180",2015,"KC","Andy Reid","Doug Pederson","Bob Sutton",5,3,0.625,0.705882352941177
"181",2016,"KC","Andy Reid","Brad Childress","Bob Sutton",7,3,0.7,0.823529411764706
"182",2017,"KC","Andy Reid","Matt Nagy","Bob Sutton",3,5,0.375,0.3125
"183",2018,"KC","Andy Reid","Eric Bieniemy","Bob Sutton",5,4,0.555555555555556,0.636363636363636
"184",2019,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",5,4,0.555555555555556,0.696969696969697
"185",2020,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",8,1,0.888888888888889,1
"186",2021,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",5,3,0.625,0.727272727272727
"187",2022,"KC","Andy Reid","Eric Bieniemy","Steve Spagnuolo",7,3,0.7,0.882352941176471
"188",2023,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",6,5,0.545454545454545,0.617647058823529
"189",2024,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",11,0,1,1
"190",2025,"KC","Andy Reid","Matt Nagy","Steve Spagnuolo",1,9,0.1,0
"191",2015,"LAC","Mike McCoy","Frank Reich","John Pagano",3,9,0.25,0.0294117647058824
"192",2016,"LAC","Mike McCoy","Ken Whisenhunt","John Pagano",4,9,0.307692307692308,0.294117647058824
"193",2017,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",3,5,0.375,0.3125
"194",2018,"LAC","Anthony Lynn","Ken Whisenhunt","Gus Bradley",6,1,0.857142857142857,0.939393939393939
"195",2019,"LAC","Anthony Lynn","Shane Steichen, Ken Whisenhunt","Gus Bradley",2,9,0.181818181818182,0.0606060606060606
"196",2020,"LAC","Anthony Lynn","Shane Steichen","Gus Bradley",5,7,0.416666666666667,0.382352941176471
"197",2021,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",5,5,0.5,0.484848484848485
"198",2022,"LAC","Brandon Staley","Joe Lombardi","Renaldo Hill",7,5,0.583333333333333,0.676470588235294
"199",2023,"LAC","Giff Smith","Kellen Moore","Derrick Ansley",3,8,0.272727272727273,0.117647058823529
"200",2023,"LAC","Brandon Staley","Kellen Moore","Derrick Ansley",3,8,0.272727272727273,0.117647058823529
"201",2024,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",4,4,0.5,0.5
"202",2025,"LAC","Jim Harbaugh","Greg Roman","Jesse Minter",6,2,0.75,0.939393939393939
"203",2015,"LAR","Jeff Fisher","Rob Boras, Frank Cignetti","Gregg Williams",5,4,0.555555555555556,0.588235294117647
"204",2016,"LAR","John Fassel","Rob Boras","Gregg Williams",4,5,0.444444444444444,0.441176470588235
"205",2016,"LAR","Jeff Fisher","Rob Boras","Gregg Williams",4,5,0.444444444444444,0.441176470588235
"206",2017,"LAR","Sean McVay","Matt LaFleur","Wade Phillips",4,3,0.571428571428571,0.59375
"207",2018,"LAR","Sean McVay","","Wade Phillips",6,1,0.857142857142857,0.939393939393939
"208",2019,"LAR","Sean McVay","","Wade Phillips",3,3,0.5,0.484848484848485
"209",2020,"LAR","Sean McVay","Kevin O'Connell","Brandon Staley",4,4,0.5,0.5
"210",2021,"LAR","Sean McVay","Kevin O'Connell","Raheem Morris",4,2,0.666666666666667,0.787878787878788
"211",2022,"LAR","Sean McVay","Liam Coen","Raheem Morris",3,4,0.428571428571429,0.441176470588235
"212",2023,"LAR","Sean McVay","Mike LaFleur","Raheem Morris",6,4,0.6,0.764705882352941
"213",2024,"LAR","Sean McVay","Mike LaFleur","Chris Shula",8,5,0.615384615384615,0.764705882352941
"214",2025,"LAR","Sean McVay","Mike LaFleur","Chris Shula",4,5,0.444444444444444,0.454545454545455
"215",2015,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",6,5,0.545454545454545,0.529411764705882
"216",2016,"LV","Jack Del Rio","Bill Musgrave","Ken Norton",9,2,0.818181818181818,1
"217",2017,"LV","Jack Del Rio","Todd Downing","Ken Norton, John Pagano",4,3,0.571428571428571,0.59375
"218",2018,"LV","Jon Gruden","Greg Olson","Paul Guenther",3,3,0.5,0.424242424242424
"219",2019,"LV","Jon Gruden","Greg Olson","Paul Guenther",7,3,0.7,0.787878787878788
"220",2020,"LV","Jon Gruden","Greg Olson","Paul Guenther, Rod Marinelli",5,4,0.555555555555556,0.705882352941177
"221",2021,"LV","Rich Bisaccia","Greg Olson","Gus Bradley",7,2,0.777777777777778,0.878787878787879
"222",2021,"LV","Jon Gruden","Greg Olson","Gus Bradley",7,2,0.777777777777778,0.878787878787879
"223",2022,"LV","Josh McDaniels","Mick Lombardi","Patrick Graham",4,9,0.307692307692308,0.0882352941176471
"224",2023,"LV","Antonio Pierce","Bo Hardegree, Mick Lombardi","Patrick Graham",5,5,0.5,0.441176470588235
"225",2023,"LV","Josh McDaniels","Bo Hardegree, Mick Lombardi","Patrick Graham",5,5,0.5,0.441176470588235
"226",2024,"LV","Antonio Pierce","Luke Getsy, Scott Turner","Patrick Graham",3,4,0.428571428571429,0.441176470588235
"227",2025,"LV","Pete Carroll","Chip Kelly, Greg Olson","Patrick Graham",2,5,0.285714285714286,0.121212121212121
"228",2015,"MIA","Dan Campbell","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",3,3,0.5,0.382352941176471
"229",2015,"MIA","Joe Philbin","Bill Lazor, Zac Taylor","Lou Anarumo, Kevin Coyle",3,3,0.5,0.382352941176471
"230",2016,"MIA","Adam Gase","Clyde Christensen","Vance Joseph",8,2,0.8,0.941176470588235
"231",2017,"MIA","Adam Gase","Clyde Christensen","Matt Burke",5,3,0.625,0.75
"232",2018,"MIA","Adam Gase","Dowell Loggains","Matt Burke",7,1,0.875,1
"233",2019,"MIA","Brian Flores","Chad O'Shea","Patrick Graham",5,2,0.714285714285714,0.818181818181818
"234",2020,"MIA","Brian Flores","Chan Gailey","Josh Boyer",3,4,0.428571428571429,0.411764705882353
"235",2021,"MIA","Brian Flores","George Godsey, Eric Studesville","Josh Boyer",4,3,0.571428571428571,0.696969696969697
"236",2022,"MIA","Mike McDaniel","Frank Smith","Josh Boyer",6,5,0.545454545454545,0.617647058823529
"237",2023,"MIA","Mike McDaniel","Frank Smith","Vic Fangio",4,3,0.571428571428571,0.735294117647059
"238",2024,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",4,4,0.5,0.5
"239",2025,"MIA","Mike McDaniel","Frank Smith","Anthony Weaver",4,3,0.571428571428571,0.606060606060606
"240",2015,"MIN","Mike Zimmer","Norv Turner","George Edwards",4,2,0.666666666666667,0.852941176470588
"241",2016,"MIN","Mike Zimmer","Pat Shurmur, Norv Turner","George Edwards",2,4,0.333333333333333,0.323529411764706
"242",2017,"MIN","Mike Zimmer","Pat Shurmur","George Edwards",5,2,0.714285714285714,0.78125
"243",2018,"MIN","Mike Zimmer","John DeFilippo","George Edwards",3,2,0.6,0.757575757575758
"244",2019,"MIN","Mike Zimmer","Kevin Stefanski","George Edwards",2,4,0.333333333333333,0.212121212121212
"245",2020,"MIN","Mike Zimmer","Gary Kubiak","Andre Patterson, Adam Zimmer",6,4,0.6,0.735294117647059
"246",2021,"MIN","Mike Zimmer","Klint Kubiak","Andre Patterson, Adam Zimmer",6,8,0.428571428571429,0.333333333333333
"247",2022,"MIN","Kevin O'Connell","Wes Phillips","Ed Donatell",11,0,1,1
"248",2023,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",6,8,0.428571428571429,0.352941176470588
"249",2024,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",9,1,0.9,0.970588235294118
"250",2025,"MIN","Kevin O'Connell","Wes Phillips","Brian Flores",5,4,0.555555555555556,0.575757575757576
"251",2015,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",6,3,0.666666666666667,0.852941176470588
"252",2016,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",4,1,0.8,0.941176470588235
"253",2017,"NE","Bill Belichick","Josh McDaniels","Matt Patricia",5,2,0.714285714285714,0.78125
"254",2018,"NE","Bill Belichick","Josh McDaniels","",3,2,0.6,0.757575757575758
"255",2019,"NE","Bill Belichick","Josh McDaniels","",4,3,0.571428571428571,0.727272727272727
"256",2020,"NE","Bill Belichick","Josh McDaniels","",3,4,0.428571428571429,0.411764705882353
"257",2021,"NE","Bill Belichick","Josh McDaniels","",3,3,0.5,0.484848484848485
"258",2022,"NE","Bill Belichick","","",4,4,0.5,0.588235294117647
"259",2023,"NE","Bill Belichick","Bill O'Brien","",4,8,0.333333333333333,0.205882352941176
"260",2024,"NE","Jerod Mayo","Alex Van Pelt","DeMarcus Covington",3,6,0.333333333333333,0.323529411764706
